uid,total_games,taxa_acordo,js_medio
947d677616966cac676768e580970765,2,0.8974358974358975,0.07247161493783567
2af68c07e293c72b0aff3b43ab1bc6ef,12,0.7065727699530516,0.18156530975428745
6c78178a885fb2bb06b3d931d772c954,1,0.75,0.2193027042795618
5984e1ba95cf53ca864be7013a1e8a1b,4,0.8170731707317073,0.10428781895015339
18df1d52b30923213b745ee8c65c2167,3,0.7951807228915663,0.0825596430883133
d8ceecd65c54edceb8cd2dd9e4386ce8,10,0.7697594501718213,0.17332535938708207
321640f63c2c9161c6fdf1114edd91c1,2,0.7945205479452054,0.10922632265057587
b76fe4167e453eadfa58d7af147b089d,23,0.7434715821812596,0.17168371506206276
26b841a0f8bc1f216d54792845885f3c,9,0.766798418972332,0.16839132281910665
6aaa537f603dbc1f7d92456c2f09266b,1,0.7916666666666666,0.06484960616283132
e0d8428dfc81ae86d7fa9775ff21e559,8,0.7627737226277372,0.17137755587582632
f2c0ebc9c8ebf09357418030d5dfb3b5,1,0.8666666666666667,0.04150374794421205
72c8712dd9e6f2dd03f5e35083d89322,11,0.7475961538461539,0.1837116452469717
d69ec165b032f1874a7aafaf3bec919e,6,0.7423312883435583,0.20097737417523176
5ae3ec7fa50c1c984e67f7cb69fa6381,5,0.6989795918367347,0.15921938393291965
14e6b01ed90ad37fdb4694d24209d4c4,2,0.8823529411764706,0.08003341201627912
B193FC87-7867-46C2-9A7A-ABF5A67768F4,6,0.773851590106007,0.1548753145793807
33dadcb1373afb6e268ed23ba55b9eaf,14,0.8487394957983193,0.11346162745186503
4ff4c26c97f2850fbe607d30de065cc5,1,0.6956521739130435,0.3003630933313732
ddb630c1545ee6a3a6bd4592c563990b,4,0.9196428571428571,0.07420783789456413
0bbf9912d9dd2e90fe2bbb9428abaaeb,9,0.8591549295774648,0.09938577963838217
5972d0ba90a6a0ca44812fd011764f76,1,0.6774193548387096,0.24325328359120205
b580fdb221d72043eec7158781c8b2ce,6,0.7437185929648241,0.14437621996032113
8316fa7c7d9ac5323f11511daa89e437,3,0.7425742574257426,0.19352311941307523
321fcfcd15cbd2e575b4127147a4dfc9,5,0.8203592814371258,0.11545775996821872
4751c254495cb9726ee37be01803850c,1,0.5961538461538461,0.2217386113506601
e63032518900dfcdc2e7cadc5bc49fc1,2,0.8809523809523809,0.04512225752680019
682cc327be2e083b4ec2d6a8a53a555d,49,0.8923611111111112,0.08229535997014253
c9fad753196fbaa21abb8d3f894317f5,3,0.8875,0.09528194999728558
bbec501e93ea53eea731caa7bfd2845b,6,0.6319444444444444,0.23335084054423133
b672628546091a748811867bdbb0f8d4,3,0.6730769230769231,0.24648134401679286
034a1fff36fbe53b7c26cb9648118a96,22,0.7086330935251799,0.1941207055801466
c3fb98e10f8b0b6c1432cc19a4133a15,1,0.8,0.13554893744433538
24db27364d07d73786984dd01effff04,5,0.7681159420289855,0.14306436222416904
ae6e74a0b41add134f4a48e65d8bdb84,2,0.6376811594202898,0.13917399697845365
36a63354fa41d886cd6686feb1b0f6fe,4,0.64,0.3355638954502641
8a9ff46bf94b8b8994b1e5f056eb4a16,2,0.7910447761194029,0.1519245746519511
453913a60fdbeffd29c2ff62959b4b98,1,0.9375,0.019454881848849397
6044e7c6a9fa75830970861815fc2151,8,0.688212927756654,0.23904483618050196
52d532e31a63420c60c973575aab16a6,4,0.7039473684210527,0.21405815393981587
9859d5d7301936fa92346144056398c4,4,0.6780487804878049,0.21393186957057247
c98cf04eb99cf6709293ca2184eb7364,1,0.6346153846153846,0.3015595948094051
d5b9b093e7d8bf29044d922cb64dbf6f,1,0.6363636363636364,0.3570772354071275
c688b6e53e4aaacec9bddf7a46d3314c,1,0.6666666666666666,0.24150374167620248
3dbbbb41c3b7f0e5405fbf4d5f27722d,7,0.7567567567567568,0.19466648641377413
68ab4296cb2ec2406e774d73a9f6793a,1,0.7,0.2729573843488443
9f79d699707b0e56f4973c4737a4bb0c,16,0.7165354330708661,0.18031815935082893
729e3ec1a00286dd39f598612df5e7dc,1,0.7941176470588235,0.1898875783198396
c084ef2760e5bc9ca2f0ac2749af7106,7,0.7831325301204819,0.14682789994546103
0c781bcf098a822cc0dc90204bce4b12,9,0.6743421052631579,0.211431485293747
0c0dc6d870474abb9e5cf19069890208,29,0.7985781990521327,0.13146309118918018
5c4e7cb44b12b8158730728e5b5e7f92,3,0.7948717948717948,0.19100988421681558
60d1961b78efcfcbaf2389e684657f54,5,0.8,0.10922153444219188
00f2fbe4b0b7d5b85e92453a0d8cc9bc,3,0.864406779661017,0.07722695684555608
31bda7ff1ae4188de6a877a4578fc18c,36,0.7533274179236912,0.1660953847160285
